vert1_id,vert2_id,fre
S01,S01,0
S02,S01,1
S03,S01,0
S04,S01,0
S05,S01,0
S06,S01,0
S07,S01,0
S08,S01,0
S09,S01,0
S10,S01,0
S11,S01,0
S12,S01,1
S13,S01,0
S14,S01,0
S15,S01,0
S16,S01,1
S17,S01,0
S18,S01,0
S19,S01,0
T01,S01,1
S01,S02,2
S02,S02,1
S03,S02,1
S04,S02,0
S05,S02,2
S06,S02,0
S07,S02,0
S08,S02,1
S09,S02,0
S10,S02,4
S11,S02,0
S12,S02,1
S13,S02,1
S14,S02,0
S15,S02,0
S16,S02,0
S17,S02,1
S18,S02,0
S19,S02,0
T01,S02,3
S01,S03,0
S02,S03,1
S03,S03,1
S04,S03,1
S05,S03,2
S06,S03,2
S07,S03,0
S08,S03,2
S09,S03,1
S10,S03,0
S11,S03,0
S12,S03,0
S13,S03,1
S14,S03,1
S15,S03,0
S16,S03,1
S17,S03,1
S18,S03,0
S19,S03,0
T01,S03,1
S01,S04,0
S02,S04,1
S03,S04,4
S04,S04,1
S05,S04,6
S06,S04,1
S07,S04,0
S08,S04,1
S09,S04,1
S10,S04,1
S11,S04,1
S12,S04,0
S13,S04,1
S14,S04,0
S15,S04,1
S16,S04,0
S17,S04,1
S18,S04,2
S19,S04,0
T01,S04,3
S01,S05,0
S02,S05,0
S03,S05,2
S04,S05,3
S05,S05,0
S06,S05,1
S07,S05,2
S08,S05,0
S09,S05,1
S10,S05,0
S11,S05,0
S12,S05,1
S13,S05,0
S14,S05,1
S15,S05,0
S16,S05,1
S17,S05,0
S18,S05,0
S19,S05,0
T01,S05,5
S01,S06,0
S02,S06,0
S03,S06,1
S04,S06,2
S05,S06,2
S06,S06,0
S07,S06,0
S08,S06,0
S09,S06,0
S10,S06,0
S11,S06,0
S12,S06,1
S13,S06,0
S14,S06,0
S15,S06,0
S16,S06,0
S17,S06,0
S18,S06,1
S19,S06,1
T01,S06,2
S01,S07,0
S02,S07,2
S03,S07,0
S04,S07,0
S05,S07,2
S06,S07,2
S07,S07,1
S08,S07,0
S09,S07,6
S10,S07,1
S11,S07,3
S12,S07,5
S13,S07,0
S14,S07,1
S15,S07,6
S16,S07,1
S17,S07,0
S18,S07,0
S19,S07,0
T01,S07,2
S01,S08,0
S02,S08,0
S03,S08,1
S04,S08,1
S05,S08,2
S06,S08,1
S07,S08,0
S08,S08,0
S09,S08,0
S10,S08,0
S11,S08,1
S12,S08,0
S13,S08,2
S14,S08,0
S15,S08,0
S16,S08,1
S17,S08,0
S18,S08,2
S19,S08,0
T01,S08,2
S01,S09,0
S02,S09,1
S03,S09,1
S04,S09,0
S05,S09,0
S06,S09,0
S07,S09,2
S08,S09,0
S09,S09,1
S10,S09,0
S11,S09,1
S12,S09,4
S13,S09,0
S14,S09,2
S15,S09,2
S16,S09,0
S17,S09,1
S18,S09,0
S19,S09,0
T01,S09,3
S01,S10,2
S02,S10,5
S03,S10,1
S04,S10,1
S05,S10,0
S06,S10,0
S07,S10,0
S08,S10,0
S09,S10,2
S10,S10,2
S11,S10,3
S12,S10,1
S13,S10,1
S14,S10,5
S15,S10,1
S16,S10,1
S17,S10,1
S18,S10,0
S19,S10,2
T01,S10,2
S01,S11,0
S02,S11,1
S03,S11,0
S04,S11,0
S05,S11,0
S06,S11,0
S07,S11,0
S08,S11,0
S09,S11,4
S10,S11,1
S11,S11,0
S12,S11,7
S13,S11,0
S14,S11,0
S15,S11,6
S16,S11,0
S17,S11,0
S18,S11,1
S19,S11,0
T01,S11,2
S01,S12,0
S02,S12,1
S03,S12,1
S04,S12,1
S05,S12,1
S06,S12,0
S07,S12,0
S08,S12,0
S09,S12,2
S10,S12,1
S11,S12,3
S12,S12,0
S13,S12,0
S14,S12,0
S15,S12,4
S16,S12,0
S17,S12,0
S18,S12,0
S19,S12,0
T01,S12,4
S01,S13,0
S02,S13,0
S03,S13,1
S04,S13,0
S05,S13,0
S06,S13,1
S07,S13,1
S08,S13,1
S09,S13,0
S10,S13,1
S11,S13,0
S12,S13,0
S13,S13,1
S14,S13,0
S15,S13,1
S16,S13,0
S17,S13,0
S18,S13,5
S19,S13,0
T01,S13,2
S01,S14,0
S02,S14,3
S03,S14,1
S04,S14,0
S05,S14,1
S06,S14,0
S07,S14,0
S08,S14,3
S09,S14,1
S10,S14,3
S11,S14,0
S12,S14,0
S13,S14,2
S14,S14,0
S15,S14,2
S16,S14,0
S17,S14,0
S18,S14,1
S19,S14,1
T01,S14,3
S01,S15,0
S02,S15,1
S03,S15,0
S04,S15,0
S05,S15,0
S06,S15,0
S07,S15,0
S08,S15,0
S09,S15,3
S10,S15,0
S11,S15,3
S12,S15,4
S13,S15,1
S14,S15,1
S15,S15,0
S16,S15,1
S17,S15,1
S18,S15,3
S19,S15,0
T01,S15,2
S01,S16,1
S02,S16,0
S03,S16,0
S04,S16,0
S05,S16,1
S06,S16,0
S07,S16,1
S08,S16,0
S09,S16,1
S10,S16,0
S11,S16,0
S12,S16,0
S13,S16,1
S14,S16,0
S15,S16,0
S16,S16,0
S17,S16,0
S18,S16,1
S19,S16,0
T01,S16,3
S01,S17,1
S02,S17,0
S03,S17,1
S04,S17,0
S05,S17,1
S06,S17,0
S07,S17,0
S08,S17,0
S09,S17,1
S10,S17,0
S11,S17,0
S12,S17,0
S13,S17,0
S14,S17,0
S15,S17,0
S16,S17,0
S17,S17,1
S18,S17,0
S19,S17,0
T01,S17,2
S01,S18,0
S02,S18,1
S03,S18,0
S04,S18,1
S05,S18,1
S06,S18,1
S07,S18,0
S08,S18,1
S09,S18,0
S10,S18,2
S11,S18,0
S12,S18,1
S13,S18,2
S14,S18,2
S15,S18,1
S16,S18,2
S17,S18,0
S18,S18,0
S19,S18,0
T01,S18,3
S01,S19,1
S02,S19,3
S03,S19,0
S04,S19,0
S05,S19,1
S06,S19,0
S07,S19,0
S08,S19,0
S09,S19,3
S10,S19,3
S11,S19,1
S12,S19,0
S13,S19,1
S14,S19,0
S15,S19,0
S16,S19,1
S17,S19,0
S18,S19,1
S19,S19,1
T01,S19,1
S01,T01,4
S02,T01,14
S03,T01,13
S04,T01,18
S05,T01,16
S06,T01,11
S07,T01,14
S08,T01,12
S09,T01,15
S10,T01,17
S11,T01,17
S12,T01,20
S13,T01,13
S14,T01,14
S15,T01,15
S16,T01,12
S17,T01,5
S18,T01,16
S19,T01,14
T01,T01,7
